Tên Chợ,Vĩ độ (Lat),Kinh độ (Lon),Loại dữ liệu,OSM ID
Chợ nổi Cái Răng,10.0034333,105.7450883,node,376818778
chợ Lo,20.622683,105.231634,node,446043788
Chợ Dương Đông,10.2206293,103.9591854,node,477604691
Chợ (Không tên),20.5673749,105.0142844,node,668769529
Chợ Đêm Tân An,10.5313746,106.4165997,node,980138079
Coopmart Tân An,10.5345475,106.4107415,node,980138807
Chợ (Không tên),11.9551014,108.431082,node,1152317395
Chợ Đà Lạt,11.9435196,108.4372097,node,1152317883
Phan Chu Trinh,11.9495015,108.4636063,node,1152346560
Chợ (Không tên),11.9428516,108.4524732,node,1152350964
Chợ (Không tên),11.9392214,108.4265514,node,1152352701
Chợ,16.4616905,107.5900942,node,1248656125
Chợ Gò Công (mới),10.3606458,106.6724185,node,1270298405
Chợ Gò Công,10.3622504,106.673558,node,1270298441
Chợ (Không tên),9.8139931,105.0614163,node,1274268757
Chợ Đục Đá,20.5914536,105.9270085,node,1274538623
Chợ Vĩnh Tân,11.0437006,107.0186129,node,1275271658
Chợ Thạnh An,11.2049529,106.3990157,node,1275615144
Chợ (Không tên),10.7114181,105.1203456,node,1316475285
Chợ (Không tên),10.7123695,105.1196327,node,1316475299
Chợ trung tâm Pleiku,13.9789735,107.9961475,node,1380856181
Chợ Đầm,13.782407,109.2249884,node,1533619325
Chợ Đông Hà,16.8239186,107.0992767,node,1633652258
Chợ Phường 7,13.1023529,109.3118133,node,1644008071
Chợ Chiều Thắng Lợi,20.9723698,105.7455509,node,1685291681
Siêu thị Thành Sơn,21.1389727,105.5072008,node,1711447442
Cho Cat Ba,20.7274511,107.0469791,node,1724610762
Chợ Đắk Mâm,12.459185,107.8263915,node,1731367489
Chợ Quang Thiện,20.1005657,106.1080623,node,1736286837
Chợ Quy Hậu,20.1043537,106.1167869,node,1738253487
Chợ Đăk Mil,12.4487525,107.6210296,node,1738893058
Chợ Tiên Thủy,10.2627112,106.2394162,node,1753037671
Chợ Cán Cấu,22.6173391,104.3005947,node,1754984136
Chợ Cốc Ly,22.501401,104.1981107,node,1755563883
Chợ Cầu Dừa,10.758802,106.694865,node,1779408189
Chợ An Hòa,10.0491642,105.7724079,node,1793968790
Chợ Cần Thơ Bé,10.2253858,105.5530469,node,1805721824
Chợ Thơm Rơm,10.1824381,105.551018,node,1805721842
Chợ Tân Lược,10.1410978,105.7167036,node,1810811790
Chợ Mỹ Hôị Đông,10.5405018,105.3307764,node,1812091236
Chợ Vàm Sáng Cây Dương,10.5559547,105.2652246,node,1812183322
chợ Chợ Vàm,10.7120201,105.3447458,node,1813366680
Chợ Vĩnh Hội Đông,10.7947567,105.0667089,node,1813598527
Chợ Long An,10.8022709,105.206687,node,1813632282
Chợ Hồng Ngự,10.8080927,105.3424622,node,1814717602
Chợ (Không tên),15.8789576,108.3048545,node,1819473126
Chợ An Bình,10.8724735,106.7572494,node,1921519106
Chợ Xã Tây,10.7530475,106.6629554,node,2068659852
Chợ Hoa Quảng Bá,21.0682495,105.8272643,node,2136318858
Chợ (Không tên),21.0770945,105.8360083,node,2136318878
Chợ Mai,16.1002449,108.2525503,node,2147654924
Chợ (Không tên),21.3927936,103.0150867,node,2270438302
Chợ đêm sađéc,10.2959243,105.7673144,node,2271294566
Chợ (Không tên),10.7051429,107.9856445,node,2273284564
Chợ (Không tên),10.7213773,107.9411306,node,2273284566
Chợ (Không tên),10.9368166,108.1276636,node,2287646990
Chợ Hàm Tiến(market),10.954117,108.2451404,node,2287646994
Chợ (Không tên),21.024853,105.8478962,node,2290037023
Chợ Cầu,10.847542,106.6356317,node,2296666121
Chợ (Không tên),21.0596487,105.8927714,node,2297911469
Chợ Bình An,10.1628574,104.6130601,node,2324491346
Chợ Hà Tiên,10.3789699,104.4854028,node,2327003283
Chợ Du lịch Vũng Tàu,10.3452023,107.0942967,node,2339056843
Chợ Vườn Lài,10.86014,106.6917046,node,2341630281
Chợ Phùng Khoang,20.9858966,105.7937986,node,2471647464
Chợ Đôn,20.8396502,106.6692226,node,2476530994
Đoàn Kết,20.8437707,106.6934285,node,2477234843
Chợ Đình,20.8314819,106.6986688,node,2487478559
Chợ Hữu Quan,20.8879285,106.6894343,node,2487786278
Chợ Lam Sơn,20.8495373,106.6646285,node,2490798795
Chợ rau quả đầu mối,20.8680728,106.6608866,node,2494987923
Chợ cóc,20.8363022,106.7038022,node,2497090038
Chợ Cần Thơ,10.0280618,105.7870934,node,2598517874
Chợ Hưng Lợi,10.0238579,105.7617067,node,2598517882
Floating Market Cai Be,10.3327205,106.0353954,node,2613253484
Chợ Phước Hưng,10.5070586,107.1722679,node,2614656903
Chợ (Không tên),13.2007734,108.2062419,node,2624565896
Chợ Cô Giang,10.3549981,107.0787341,node,2641109127
Chợ Long Hải,10.4090241,107.2213214,node,2645445837
Chợ Hải Sơn,10.3917835,107.2324257,node,2645445903
Chợ Xóm Lưới,10.3414775,107.0760829,node,2649575440
Chợ Ngọc Hà,10.6064831,107.0539223,node,2727010778
Chợ Mỹ Xuân,10.6213121,107.0549842,node,2730532695
Chợ Ông Trịnh,10.5618414,107.0607272,node,2746829200
Chợ Phước Lộc,10.5517087,107.0672289,node,2746829243
Chợ Lam Sơn,10.5291568,107.0793992,node,2746829362
Chợ Tăng Nhơn Phú B,10.831297,106.7840226,node,2776788997
Chợ Láng Lớn,10.662504,107.169844,node,2802749870
Chợ Bình Khánh,10.7866226,106.7383719,node,2817112818
Chợ Trà Vinh,9.935513,106.3423448,node,2920572947
Cat Hai,10.501393,107.094132,node,2935318501
Chợ Hải Sản Hàng Dương,10.38719,106.919392,node,2947357933
Market,10.688255,107.020542,node,2975422434
Song Vinh,10.564926,107.057295,node,2980477636
Thon Cat Hai,10.501611,107.091956,node,2980501933
Ap Phuoc Hiep,10.518056,107.083885,node,2980508635
Ap Phuoc Loc-Tan Phuoc,10.549543,107.068669,node,2980508638
Ap 3,10.692771,107.0163,node,2980508739
Ấp Tập Phước,10.706494,107.006428,node,2980508740
Thon Phuoc Long,10.514503,107.086023,node,2980510135
Ap Hai son,10.535353,107.074088,node,2980510334
Ap Phu Ha,10.630567,107.047455,node,2980513434
Ấp Long Phú,10.686698,107.020589,node,2980546433
Ấp Đất Mới,10.72898,106.989644,node,2980559933
Chợ Phú Bài,16.408181,107.6779,node,2985559534
Chợ cầu Hai,16.2703345,107.8802772,node,2985592978
Chợ Cái Răng,10.0060066,105.7509847,node,3108158476
Chợ cũ NamNJang,12.1980308,107.5761827,node,3163972838
Chợ Hệ,20.8444201,106.4704846,node,3228069674
Chợ Bầu,20.8317976,106.4554981,node,3231373234
Chợ Đại Từ,20.9704793,105.8325149,node,3234578992
Chợ Hương,20.9018305,106.428567,node,3254595841
Market,23.0658884,104.9903862,node,3282237826
Cho An Binh,10.2717802,105.9643042,node,3284635842
Small market,10.947351,108.200097,node,3330069693
Chợ Nhân Chính,20.9983875,105.8093027,node,3389007927
Chợ Tuyên Nhơn,10.6590701,106.1823026,node,3451885364
Chợ Bàu Trai,10.9003024,106.3934648,node,3455659053
Floating Market,10.0154741,105.6484063,node,3482839700
Chợ An Lạc,10.0256729,105.783137,node,3507987206
Chợ Tiên Yên,21.3310526,107.3986761,node,3724072615
Chợ (Không tên),11.9524855,108.4394817,node,3770188798
Pho Cao,23.186326,105.1973104,node,3844118493
Floating market,9.9937435,105.6677136,node,3867250436
Chợ (Không tên),10.3749064,103.8450037,node,4068098731
Chợ Đất Đỏ,10.4898344,107.271205,node,4123783894
Chợ Campuchia,10.7633674,106.6776016,node,4138575689
Local market,22.8197816,104.9872929,node,4170738009
Chợ (Không tên),11.9424675,108.4272551,node,4265455436
Chợ Hiệp Bình Phước,10.863161,106.7210254,node,4295824693
Chợ Long Trường,10.8061332,106.8224664,node,4374995103
Chợ Miếu Bông,15.97989,108.2089787,node,4386676224
Chợ Đêm Hàng Đào – Đồng Xuân,21.0335078,105.8509571,node,4489385889
Chợ Đêm,21.1473208,105.5021092,node,4532462397
Chợ Đêm,21.0332192,105.8523763,node,4572907889
Chợ Nancy,10.7557937,106.6858615,node,4593843138
Chợ (Không tên),11.2254827,108.7282699,node,4607152591
Chợ Chiều,10.7676377,106.6928286,node,4617175606
Chợ Nhật Tảo,10.7641455,106.6653042,node,4618297763
Chợ (Không tên),14.1791447,109.052523,node,4637264792
Chợ (Không tên),21.0248258,105.9911384,node,4698571049
Chợ (Không tên),20.9750222,105.9117762,node,4712969789
Chợ (Không tên),17.5823607,106.2820798,node,4730535258
Chợ (Không tên),22.3963722,103.8424404,node,4748731527
Chợ Sa Pa,22.338292,103.8519846,node,4811351954
Chợ Phú Định,10.7198216,106.6232197,node,4813074208
Chợ Vĩnh Lộc A,10.8324893,106.5655415,node,4865522226
Chợ Đình,10.9855069,106.6679563,node,4872310218
